"","Reaction","LowerBound","UpperBound"
"224","PIt2rpp",-0.2238139449,0.0143080512
"225","PMANM",-3.3497762878,0
"226","POR5",-2.5897290274,0.0608574333
"227","PPCK",-0.2248076195,1.604175622
"228","PPK2r",-3.3497762878,3.3497763078
"229","PPKr",-1000,3.3497763279
"230","PPM",-1000,3.3497763078
"231","PROt2rpp",-1000,0
"232","PROtex",-0.2178542628,0
"233","PRPPS",-1000,3.3497763078
"234","PTRCORNt7pp",-7.39086767,0
"235","PTRCtex",-0.0957027744,0
"236","PUNP1",-3.3497762878,3.3497763078
"237","PUNP2",-0.5755059088,0.0608574333
"238","PUNP3",-0.0608574333,3.3497763078
"239","PUNP5",-3.3497762878,3.3497763078
"240","PUNP7",-3.3497762878,3.3497763078
"241","PYNP2r",-3.3497762878,3.3497763078
"242","PYRt2rpp",-0.5413658213,0
"243","PYRtex",-0.5413658213,0
"244","QUIN2tex",-0.0714869876,0
"245","QUIN2tpp",-0.0714869876,0
"246","QUINDH",-0.0714869876,0
"247","RPE",-0.0008363256,0.121713925
"248","RPI",-0.0608569625,4.70838017456048e-07
"249","SDPTA",-0.1865749277,-3.80451683902476e-17
"250","SERt2rpp",-1000,0
"251","SERtex",-0.4847798262,0
"252","SPMDtex",-0.0478513872,0
"253","SUCCtex",-0.3938220354,0
"254","SUCOAS",-0.2631900615,5.28093155652671e-09
"255","TALA",-0.0033192289,0.0608569625
"256","THMDt2rpp",-1000,0
"257","THMDtex",-0.0608574333,0
"258","THRt2rpp",-1000,7.39086768
"259","THRtex",-0.3028972437,0
"260","THYMtex",-0.2626276679,-9.65417717520313e-17
"261","TKT2",-0.0106300251,0.0608569625
"262","TRPAS2",-0.0357434938,0.6751452043
"263","TRPt2rpp",-0.0357434938,0
"264","TRPtex",-0.0357434938,0
"265","TRSARr",-1000,0.2406043042
"266","TYRTA",-0.0714869876,0
"267","TYRt2rpp",-0.0714869876,0
"268","TYRtex",-0.0714869876,0
"269","URAt2rpp",-1000,0
"270","URAtex",-0.4182179432,0
"271","UREAtex",-0.0957027744,4.8467614016779e-27
"272","UREAtpp",-0.0957027744,4.8467614016779e-27
"273","URIt2rpp",-1000,0
"274","URItex",-0.0608574333,0
"275","VALTA",-1000,1000
"276","VALt2rpp",-3.4717441776,0
"277","VALtex",-0.23,0
"278","VPAMTr",-1000,1000
"279","XANtex",-0.2674221289,0
"280","XANtpp",-14.78173534,0
"281","XTSNt2rpp",-0.0608574333,0
"282","XTSNtex",-0.0608574333,0
"283","XYLI2",-0.3477563707,0.3381622459
